lambda_1,lambda_2,lambda_3,x_opt_1,x_opt_2,x_opt_3
0.4397668681584628,0.06591259267046916,0.4943205391710681,-1.3232272476085256,-1.3232271869943961,-1.323227145657058
0.1446642666750025,0.32127319566853185,0.5340625376564655,-1.572433687219709,-1.572433577490474,-1.5724336747771115
0.09499514762334095,0.3059627864433504,0.5990420659333087,-1.5492922865307386,-1.5492923070125835,-1.549292301663718
0.14096321676828025,0.34812943525058226,0.5109073479811373,-1.6004225781102261,-1.6004225549061648,-1.6004225884625127
0.4910266836802742,0.08527752945150673,0.423695786868219,-1.326931037819436,-1.3269312518300114,-1.3269312328048584
0.018674147735083968,0.43228260761061305,0.549043244654303,-1.657597732099836,-1.6575977371296904,-1.6575977360986358
0.5168722273714478,0.25158991044915874,0.2315378621793935,-1.5747317003306622,-1.5747317999367214,-1.5747316905437703
0.015112685994085273,0.6672550750876367,0.317632238918278,-2.0,-2.0,-2.0
0.5671208143088536,0.24860793750324306,0.18427124818790339,-1.5937897552135962,-1.593789758739359,-1.5937897068940075
0.2501902985156561,0.16618005092595636,0.5836296505583876,-1.4362480766290873,-1.4362481338762185,-1.4362480052206916
0.10740392598852411,0.4786603172713997,0.4139357567400764,-1.7602878399347168,-1.7602878359965786,-1.76028781922778
0.2627786667711617,0.13177682563562862,0.6054445075932099,-1.4075180650415715,-1.4075180745104638,-1.407518106619692
0.041154090704855956,0.034973517424996416,0.9238723918701476,-1.367420621671659,-1.367420755714925,-1.3674208644542107
0.26694594412625755,0.4077615321777961,0.3252925236959463,-1.7463171934820898,-1.746317195322918,-1.7463171959846706
0.08973358286118975,0.02773258784183968,0.8825338292969707,-1.3584237291553833,-1.3584238099582682,-1.358423764733494
0.5492182768358957,0.37686401822075616,0.07391770494334798,-2.0,-2.0,-2.0
0.011220853269522813,0.36325109781729303,0.625528048913184,-1.5871289141604366,-1.5871288791707072,-1.5871289333649639
0.6800236767012943,0.21196526535130567,0.10801105794740008,-1.5372595357759562,-1.5372595203560524,-1.5372595626113617
0.21686214434109563,0.12499598676026796,0.6581418688986366,-1.406003414561886,-1.406003310875582,-1.4060034927123692
0.08006025251632225,0.515161508383313,0.40477823910036487,-1.8020968807652649,-1.8020969268381406,-1.8020968595149882
0.20217100458568846,0.24769829166664678,0.5501307037476647,-1.5076749733501111,-1.507675009233513,-1.5076749988632583
0.4869283517182502,0.27369374024549964,0.23937790803625014,-1.6108146766142049,-1.6108146812800466,-1.6108146840728996
0.015942220073770497,0.06025296537872044,0.9238048145475091,-1.3827458784878333,-1.3827459019197592,-1.3827459010571834
0.00593219459571492,0.8326582027467229,0.16140960265756213,-2.0,-2.0,-2.0
0.49181077766191855,0.4470700894040469,0.06111913293403462,-2.0,-2.0,-2.0
0.33199512782826845,0.014566861242922068,0.6534380109288096,-1.3105155676423796,-1.3105156348940687,-1.310515642852582
0.1775525705135009,0.06480368906660211,0.7576437404198969,-1.3694639992531963,-1.3694640161108163,-1.3694640093230244
0.135569900359626,0.6127908019775868,0.2516392976627873,-2.0,-2.0,-2.0
0.33696555420643515,0.3563076480612684,0.30672679773229644,-1.6940917361512773,-1.6940917492796936,-1.6940917448261288
0.269959195390461,0.15127939239756624,0.5787614122119729,-1.4228567901119236,-1.4228567909674517,-1.422856805452371
0.18056170972986568,0.7515687671508865,0.06786952311924786,-2.0,-2.0,-2.0
0.2780411507484625,0.1746464879661831,0.5473123612853544,-1.4427217302777091,-1.4427216127483264,-1.4427216121565112
0.4890462465513971,0.434417316175591,0.0765364372730119,-2.0,-2.0,-2.0
0.06865117778751952,0.5113687808507181,0.41998004136176226,-1.7874379469978496,-1.7874379735626595,-1.7874379401100118
0.021695658955990255,0.6127371030509479,0.36556723799306184,-1.9378731197415442,-1.9378730963018063,-1.9378730965736284
0.3702696882455585,0.014494316389613524,0.615235995364828,-1.3009381644435098,-1.3009382570404713,-1.3009384089749507
0.10854293437928517,0.7880403482767959,0.10341671734391893,-2.0,-2.0,-2.0
0.12435670939516878,0.14810901157492165,0.7275342790299095,-1.4275381941854308,-1.4275381900705963,-1.4275382000448849
0.39467106499277,0.0051554872979663454,0.6001734477092635,-1.2873287691859256,-1.2873287759960816,-1.2873288010931765
0.7285014592079011,0.11199431116060461,0.15950422963149424,-1.2224174763731255,-1.2224174851332898,-1.2224174874585272
0.24728667850935757,0.7348348560715551,0.017878465419087212,-2.0,-2.0,-2.0
0.26106657336578054,0.13062537342917888,0.6083080532050407,-1.40675009636792,-1.4067500858087616,-1.4067500932720218
0.08000933395386699,0.4557781558592973,0.4642125101868357,-1.7108943955311011,-1.7108943888592383,-1.7108943875178837
0.7995440097171544,0.10271394679979279,0.09774204348305277,-1.0861884957054628,-1.0861885070542197,-1.086188657684554
0.14154151323086847,0.5081314306614798,0.35032705610765175,-1.8414046252497718,-1.8414046160473165,-1.8414046264155015
0.2862634472563585,0.5799338444738457,0.13380270826979593,-2.0,-2.0,-2.0
