lambda1,lambda2,lambda3,sensitivity_norm
0.7179140381807424,0.1418845805961798,0.1402013812230778,0.1532258609136163
0.5508148710007335,0.002384797849867184,0.44680033114939927,0.029824925178450847
0.0361996382907739,0.8353309647938001,0.128469396915426,2.3847357309425057
0.5522763548936649,0.12494354129272615,0.32278010381360905,0.1497541603229903
0.4930344590748991,0.13509126836063506,0.3718742725644658,0.20509757044797935
0.05011604749056308,0.45128815752056517,0.49859579498887185,0.48050591262129794
0.29036169539461654,0.34117983708684074,0.3684584675185428,0.2938010036367457
0.41219665450890736,0.24134213368954377,0.3464612118015488,0.3891172156038139
0.43165814359917265,0.4796144801965694,0.08872737620425791,0.9946955835662878
0.12068055783812805,0.504423837264878,0.3748956048969939,0.7796183411951556
0.11757477935117801,0.0664106570048841,0.816014563643938,0.08125541860650069
0.4901110009788185,0.27058222355633055,0.239306775464851,0.49052012798659084
0.4671351447633885,0.3363501407575089,0.19651471447910265,0.4383481345150833
0.6059162466428513,0.1317363389826998,0.2623474143744489,0.11976678371937326
0.5145678697106044,0.2590652191830312,0.2263669111063643,0.2821015839228326
0.5622963921723547,0.32023756533848496,0.11746604248916026,1.4734033106992377
0.3596310378010057,0.27588546810454206,0.36448349409445235,0.15713638188315
0.40227923919876674,0.43733330205323134,0.16038745874800195,0.9050467247614115
0.3006620394938307,0.007049861800811049,0.6922880987053583,0.1315131437121781
0.5681704711305429,0.4294092522433219,0.0024202766261352477,1.147526431383891
0.1864594564208395,0.49719340600512424,0.31634713757403626,0.8783132989376005
0.2898998269246543,0.07076873303612301,0.6393314400392226,0.08292211631597002
0.507983894277533,0.2648921151779112,0.22712399054455581,0.46625230923260175
0.27340619892842766,0.44767790741261304,0.27891589365895925,0.79764128742962
0.45942877851442737,0.18404668247219122,0.3565245390133814,0.15622247519527124
0.035616288425556475,0.33664325463016687,0.6277404569442768,0.267438495128715
0.22971363539293665,0.6630363111214395,0.10725005348562386,1.305597726082103
0.040858487295975535,0.6821299767906284,0.2770115359133961,2.5769570049812858
0.6020029522014648,0.3409417245261476,0.05705532327238754,1.6301184082366569
0.1234970302328614,0.38913923132630274,0.4873637384408358,0.5613393889746077
0.8599905654903004,0.06808994629078095,0.07191948821891868,3.08429999021819
0.14045117904925036,0.40189174707433234,0.4576570738764174,0.2796738263284222
0.6728906905700007,0.297377195140518,0.02973211428948127,1.1994493882574515
0.2014957325006136,0.3993608081014596,0.39914345939792684,0.2908608359916688
0.04157447113709743,0.40983430251499786,0.5485912263479047,0.28180882112363637
0.01721725385641686,0.24688103840834658,0.7359017077352366,0.17679030257513467
0.21124231161582283,0.09844354684696699,0.6903141415372102,0.09191817573371149
0.2526723869137687,0.2121598907589543,0.535167722327277,0.16866804111300127
0.19127338593965365,0.18042165224426124,0.6283049618160851,0.13542800933839547
0.13170389500690338,0.10933000813968459,0.7589660968534121,0.14440332945563836
0.19798904993295668,0.48615631957847216,0.31585463048857126,1.014144548134679
0.40314264483040985,0.13628480923310432,0.4605725459364858,0.2332911588111213
0.28831732353489065,0.07098135489150612,0.6407013215736032,0.1213637682534616
0.07298825067459333,0.11749194425508842,0.8095198050703182,0.12442084847526008
0.7163869554367626,0.10879012479169092,0.17482291977154654,0.09663873630170104
0.7748502236085008,0.174776977159466,0.05037279923203311,0.12861219336605892
0.6248703358332344,0.007286003436414489,0.3678436607303512,0.6927978844158764
