lambda1,lambda2,lambda3,x_opt,cov_matrix,sensitivity_norm,P_matrix,P_flattened
0.0531623194728193,0.3502863258346298,0.5965513546925508,-1.5832148954021104,"[[7.534558789917867, -4094.4653046160793, 8027.103489729939], [-4094.4653046160793, -20.560804961237977, -2972.0744322288792], [8027.103489729939, -2972.0744322288792, 6.269367295235817]]",13418.831723132202,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.5676525961824862,0.054126850232182895,0.37822055358533097,-1.263353568820664,"[[7.109946825892921, -1693.4703823748707, 3329.14228545234], [-1693.4703823748707, -8.591419019369129, -2873.7796609901434], [3329.14228545234, -2873.7796609901434, 0.6636913579534554]]",6664.788403969592,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.26194241757643716,0.6687571153718798,0.06930046705168309,-2.0,"[[-11.99155159532026, -12880.943125145022, 25761.886250290045], [-12880.943125145022, -64.40471562572512, 4796.620638128104], [25761.886250290045, 4796.620638128104, 38.19813361052269]]",41294.16239478114,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.6832528551545924,0.2328803238068882,0.08386682103851938,-1.6508892281402234,"[[6.235724756458794, -5317.241325313162, 9281.537004739988], [-5317.241325313162, -27.25911871736013, -2096.7406470026262], [9281.537004739988, -2096.7406470026262, 8.250114395895203]]",15415.364467106889,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.5025725667166385,0.3967672756962768,0.10066015758708474,-2.0,"[[-11.99155159532026, -12880.943125145093, 25761.886250289976], [-12880.943125145093, -64.40471562572529, 4796.620638128066], [25761.886250289976, 4796.620638128066, 38.198133610522866]]",41294.16239478109,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.13436993780487985,0.6948926522150607,0.1707374099800594,-2.0,"[[-11.991551595320615, -12880.943125145093, 25761.886250290117], [-12880.943125145093, -64.40471562572547, 4796.620638128033], [25761.886250290117, 4796.620638128033, 38.19813361052269]]",41294.16239478126,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.06716606626226694,0.3597027693972551,0.573131164340478,-1.5951725159403263,"[[7.379751255515998, -4240.930218898881, 8306.135142542957], [-4240.930218898881, -21.297224353576993, -2906.107143932601], [8306.135142542957, -2906.107143932601, 6.689192374634878]]",13814.70993171171,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.806316381470417,0.09800754423413631,0.09567607429544671,-1.0628382693378984,"[[4.687202929564105, -1079.10900611639, 2147.895589850597], [-1079.10900611639, -5.623887704149899, -2016.6761638958874], [2147.895589850597, -2016.6761638958874, 0.3522289479553464]]",4437.328322996102,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.06837938383603256,0.4852268227097797,0.44639379345418767,-1.746593028735795,"[[3.6802696657233014, -6592.276313927669, 12806.489130960797], [-6592.276313927669, -33.09133099371557, -1378.5128992358152], [12806.489130960797, -1378.5128992358152, 13.986715343561329]]",20462.90403527013,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.002710349798046622,0.699807607397059,0.2974820428048943,-2.0,"[[-11.99155159532026, -12880.943125145164, 25761.886250290187], [-12880.943125145164, -64.40471562572512, 0.0], [25761.886250290187, 0.0, 0.0]]",40733.17136802553,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
0.12515081366161035,0.8407784088340052,0.03407077750438441,-2.0,"[[-11.99155159532026, -12880.943125145308, 25761.886250289903], [-12880.943125145308, -64.40471562572583, 4796.620638128104], [25761.886250289903, 4796.620638128104, 38.19813361052269]]",41294.162394781146,"[[nan, nan, nan], [nan, nan, nan], [nan, nan, nan]]","[nan, nan, nan, nan, nan, nan]"
